username,firstname,lastname,email,facultate,an,grupa
student005,Mihai,Marin,student005@example.com,CALC,1,CALC-11
student006,Elena,Iliescu,student006@example.com,CALC,1,CALC-12
student007,George,Marin,student007@example.com,CALC,1,CALC-12
student008,Andrei,Radu,student008@example.com,CALC,1,CALC-12
student009,Bianca,Popescu,student009@example.com,CALC,1,CALC-12
student010,Bianca,Tudor,student010@example.com,CALC,1,CALC-12
student011,Elena,Marin,student011@example.com,CALC,2,CALC-21
student012,George,Georgescu,student012@example.com,CALC,2,CALC-21
student013,Raluca,Matei,student013@example.com,CALC,2,CALC-21
student014,Elena,Iliescu,student014@example.com,CALC,2,CALC-21
student015,Raluca,Stan,student015@example.com,CALC,2,CALC-21
student016,Raluca,Georgescu,student016@example.com,CALC,2,CALC-22
student017,Ioana,Georgescu,student017@example.com,CALC,2,CALC-22
student018,Andrei,Radu,student018@example.com,CALC,2,CALC-22
student019,George,Tudor,student019@example.com,CALC,2,CALC-22
student020,Vlad,Marin,student020@example.com,CALC,2,CALC-22
student021,Maria,Popescu,student021@example.com,CALC,3,CALC-31
student022,Vlad,Iliescu,student022@example.com,CALC,3,CALC-31
student023,Mihai,Popescu,student023@example.com,CALC,3,CALC-31
student024,Raluca,Tudor,student024@example.com,CALC,3,CALC-31
student025,Elena,Tudor,student025@example.com,CALC,3,CALC-31
student026,Vlad,Stan,student026@example.com,CALC,3,CALC-31
