username,firstname,lastname,email,facultate,an,grupanume
student001,Ioana,Matei,student001@example.com,CALC,1,CALC-11
student002,Mihai,Dumitrescu,student002@example.com,CALC,1,CALC-11
student003,Bianca,Dumitrescu,student003@example.com,CALC,1,CALC-11
student004,Mihai,Popescu,student004@example.com,CALC,1,CALC-11
student005,Mihai,Marin,student005@example.com,CALC,1,CALC-11
student006,Elena,Iliescu,student006@example.com,CALC,1,CALC-12
student007,George,Marin,student007@example.com,CALC,1,CALC-12
student008,Andrei,Radu,student008@example.com,CALC,1,CALC-12
student009,Bianca,Popescu,student009@example.com,CALC,1,CALC-12
student010,Bianca,Tudor,student010@example.com,CALC,1,CALC-12
student011,Elena,Marin,student011@example.com,CALC,2,CALC-21
student012,George,Georgescu,student012@example.com,CALC,2,CALC-21
student013,Raluca,Matei,student013@example.com,CALC,2,CALC-21
student014,Elena,Iliescu,student014@example.com,CALC,2,CALC-21
student015,Raluca,Stan,student015@example.com,CALC,2,CALC-21
student016,Raluca,Georgescu,student016@example.com,CALC,2,CALC-22
student017,Ioana,Georgescu,student017@example.com,CALC,2,CALC-22
student018,Andrei,Radu,student018@example.com,CALC,2,CALC-22
student019,George,Tudor,student019@example.com,CALC,2,CALC-22
student020,Vlad,Marin,student020@example.com,CALC,2,CALC-22
student021,Maria,Popescu,student021@example.com,CALC,3,CALC-31
student022,Vlad,Iliescu,student022@example.com,CALC,3,CALC-31
student023,Mihai,Popescu,student023@example.com,CALC,3,CALC-31
student024,Raluca,Tudor,student024@example.com,CALC,3,CALC-31
student025,Elena,Tudor,student025@example.com,CALC,3,CALC-31
student026,Vlad,Stan,student026@example.com,CALC,3,CALC-32
student027,Raluca,Georgescu,student027@example.com,CALC,3,CALC-32
student028,Maria,Iliescu,student028@example.com,CALC,3,CALC-32
student029,Vlad,Iliescu,student029@example.com,CALC,3,CALC-32
student030,Mihai,Popescu,student030@example.com,CALC,3,CALC-32
student031,Alexandru,Matei,student031@example.com,CALC,4,CALC-41
student032,Andrei,Ionescu,student032@example.com,CALC,4,CALC-41
student033,Bianca,Iliescu,student033@example.com,CALC,4,CALC-41
student034,George,Marin,student034@example.com,CALC,4,CALC-41
student035,Bianca,Georgescu,student035@example.com,CALC,4,CALC-41
student036,Elena,Georgescu,student036@example.com,CALC,4,CALC-42
student037,Bianca,Georgescu,student037@example.com,CALC,4,CALC-42
student038,George,Ionescu,student038@example.com,CALC,4,CALC-42
student039,Elena,Matei,student039@example.com,CALC,4,CALC-42
student040,Ioana,Popescu,student040@example.com,CALC,4,CALC-42
student041,Maria,Matei,student041@example.com,COM,1,COM-11
student042,Andrei,Ionescu,student042@example.com,COM,1,COM-11
student043,Bianca,Iliescu,student043@example.com,COM,1,COM-11
student044,George,Marin,student044@example.com,COM,1,COM-11
student045,Bianca,Georgescu,student045@example.com,COM,1,COM-11
student046,Elena,Georgescu,student046@example.com,COM,2,COM-21
student047,Bianca,Georgescu,student047@example.com,COM,2,COM-21
student048,George,Ionescu,student048@example.com,COM,2,COM-21
student049,Elena,Matei,student049@example.com,COM,2,COM-21
student050,Ioana,Popescu,student050@example.com,COM,2,COM-21
student051,Bianca,Marin,student051@example.com,COM,3,COM-31
student052,Elena,Ionescu,student052@example.com,COM,3,COM-31
student053,Bianca,Radu,student053@example.com,COM,3,COM-31
student054,Alexandru,Ionescu,student054@example.com,COM,3,COM-31
student055,George,Georgescu,student055@example.com,COM,3,COM-31
student056,Maria,Dumitrescu,student056@example.com,COM,4,COM-41
student057,Vlad,Popescu,student057@example.com,COM,4,COM-41
student058,Raluca,Marin,student058@example.com,COM,4,COM-41
student059,Elena,Stan,student059@example.com,COM,4,COM-41
student060,Mihai,Tudor,student060@example.com,COM,4,COM-41
